GROUP,Image1,Image2,Image3,Image4,CorrectAnswer,Target,G_Target,Condition,Target AOI,Competitor AOI,NovelDistractor,ExistingDistrator,TargetOnset
5,circus.bmp,kitten.bmp,ND_111.bmp,EDpip.bmp,2,kitten.wav,5_kitten.wav,AbsentCohort,2,1,3,4,501
6,kitchen.bmp,kitten.bmp,ND_111.bmp,EDpip.bmp,2,kitten.wav,6_kitten.wav,DisplayedCohort,2,1,3,4,501
1,letter.bmp,EDbridge.bmp,button.bmp,ND_116.bmp,1,letter.wav,1_letter.wav,AbsentCohort,1,3,4,2,419
2,letter.bmp,EDbridge.bmp,lettuce.bmp,ND_116.bmp,1,letter.wav,2_letter.wav,DisplayedCohort,1,3,4,2,419
5,letter.bmp,EDbridge.bmp,button.bmp,ND_116.bmp,1,letter.wav,5_letter.wav,AbsentCohort,1,3,4,2,419
6,letter.bmp,EDbridge.bmp,lettuce.bmp,ND_116.bmp,1,letter.wav,6_letter.wav,DisplayedCohort,1,3,4,2,419
3,lettuce.bmp,EDbridge.bmp,butter.bmp,ND_116.bmp,1,lettuce.wav,3_lettuce.wav,AbsentCohort,1,3,4,2,414
4,lettuce.bmp,EDbridge.bmp,letter.bmp,ND_116.bmp,1,lettuce.wav,4_lettuce.wav,DisplayedCohort,1,3,4,2,414
7,lettuce.bmp,EDbridge.bmp,butter.bmp,ND_116.bmp,1,lettuce.wav,7_lettuce.wav,AbsentCohort,1,3,4,2,414
8,lettuce.bmp,EDbridge.bmp,letter.bmp,ND_116.bmp,1,lettuce.wav,8_lettuce.wav,DisplayedCohort,1,3,4,2,414
1,EDparrot.bmp,lolly.bmp,ND_107.bmp,lorry.bmp,2,lolly.wav,1_lolly.wav,DisplayedCohort,2,4,3,1,406
2,EDparrot.bmp,lolly.bmp,ND_107.bmp,padlock.bmp,2,lolly.wav,2_lolly.wav,AbsentCohort,2,4,3,1,406
5,EDparrot.bmp,lolly.bmp,ND_107.bmp,lorry.bmp,2,lolly.wav,5_lolly.wav,DisplayedCohort,2,4,3,1,406
6,EDparrot.bmp,lolly.bmp,ND_107.bmp,padlock.bmp,2,lolly.wav,6_lolly.wav,AbsentCohort,2,4,3,1,406
